uid,laboratoryName,analyte,instrument,sopVersion,method,methodModification,methodDetectionLimit,analyteUnits,precision,precisionRepeatabilityUnits,absorbancePrecision,measurementUncertainty,measurementUncertaintyUnits,internalLabName,labSpecificStartDate,labSpecificEndDate
"73d951d3-e26c-4fb5-816c-8c8f4680efe4","EcoCore_CSU","TDN","Shimadzu toc-L",,"combustion/chemoluminesence ASTM D8086-16",,0.028,"milligramsPerLiter",0.042,"Standard deviation of nominal value",,0.448,"95% CI of combined uncertainty","EcoCore, Colorado State University","2023-07-19",
"f57938a4-cfd7-4532-9446-4062c709f3b2","EcoCore_CSU","TDN","Shimadzu toc-L",,"combustion/chemoluminesence ASTM D8086-16",,0.100,"milligramsPerLiter",10.000,"+/- % of nominal value at full scale",,12.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2016-06-15"
"b11e51c8-7655-4c67-9dec-a765ca00965c","EcoCore_CSU","TOC","Shimadzu toc-L",,"Combustion/NDIR (EPA 415.3)",,0.097,"milligramsPerLiter",0.082,"Standard deviation of nominal value",,0.235,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-05-28","2021-04-15"
"f97915d6-a83e-4841-a9d8-e57329d12c81","EcoCore_CSU","NH4 - N","OI flow solution IV with 000857 and 000858 cartridge",,"Salicylate/nitroferricyanide (DIN 38406)",,0.050,"milligramsPerLiter",5.000,"+/- % of nominal value at full scale",,7.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2016-05-02"
"0465757a-061d-40d5-a34e-7f53b9785fb8","EcoCore_CSU","NO3+NO2 - N","OI flow solution IV with A0002670 cartridge",,"Cd reduction/sulfanilamide (EPA 353.2)",,0.050,"milligramsPerLiter",5.000,"+/- % of nominal value at full scale",,7.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2016-05-02"
"3171551d-060c-4b63-9dda-b72f584ce385","EcoCore_CSU","SO4","Thermo Scientific Dionex ICS-1100 IC",,"EPA 300.0",,0.028,"milligramsPerLiter",0.013,"Standard deviation of nominal value",,0.455,"95% CI of combined uncertainty","Soil, Water and Plant Testing Laboratory, Colorado State University","2022-06-02","2023-07-26"
"000c1322-7444-49e1-bc5c-796b1e75261c","EcoCore_CSU","NO2 - N","OI flow solution IV with A0002670 cartridge",,"Sulfanilamide (EPA 353.2)",,0.050,"milligramsPerLiter",5.000,"+/- % of nominal value at full scale",,7.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2016-05-02"
"e4cef878-9a67-427f-bc9a-b07e1d349214","EcoCore_CSU","DIC","Shimadzu toc-L",,"Acidification/NDIR (NEMI 5310B)",,0.100,"milligramsPerLiter",10.000,"+/- % of nominal value at full scale",,12.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2017-02-09"
"dffe6e54-0afa-4fed-86ff-04e07a2fafea","EcoCore_CSU","TOC","Shimadzu toc-L",,"Combustion/NDIR (EPA 415.3)",,0.048,"milligramsPerLiter",0.103,"Standard deviation of nominal value",,0.292,"95% CI of combined uncertainty","EcoCore, Colorado State University","2023-07-19",
"cb8ee875-0c12-4cdf-ba7e-b4ec131718bf","EcoCore_CSU","Fe","Perkin Elmer Optima 7300 DV ICP",,"EPA 200.5",,0.001,"milligramsPerLiter",0.109,"Standard deviation of nominal value",,0.829,"95% CI of combined uncertainty","Soil, Water and Plant Testing Laboratory, Colorado State University","2022-04-30","2023-07-21"
"6b2154d1-6c2d-4da0-82bc-6239e9966588","EcoCore_CSU","Na","Perkin Elmer Optima 7300 DV ICP",,"EPA 200.5",,0.001,"milligramsPerLiter",4.800,"+/- % of nominal value at full scale",,5.000,"+/- % of nominal value at full scale","Soil, Water and Plant Testing Laboratory, Colorado State University","2014-10-06","2022-04-30"
"ae950521-3382-42fc-b7ad-8c6e9650989a","EcoCore_CSU","Ortho - P","OI flow solution IV",,"ascorbic acid","50g Disodium EDTA to 1L buffer",0.007,"milligramsPerLiter",0.007,"Standard deviation of nominal value",,0.060,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-07-03","2020-02-05"
"be9547a0-f953-4cb5-959a-12a3c3305ed0","EcoCore_CSU","TDN","Shimadzu toc-L",,"combustion/chemoluminesence ASTM D8086-16",,0.100,"milligramsPerLiter",0.031,"Standard deviation of nominal value",,0.126,"95% CI of combined uncertainty","EcoCore, Colorado State University","2016-06-15","2019-05-28"
"dd2c39e2-ea1a-4c56-8340-dde3b04f9707","EcoCore_CSU","Ortho - P","OI Analytical 3700 Automated Chemistry Analyzer",,"ascorbic acid","50g Disodium EDTA to 1L buffer",0.002,"milligramsPerLiter",0.007,"Standard deviation of nominal value",,0.060,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-07-03","2020-02-05"
"f192e6e2-c864-4660-8fc2-5beee82c4b47","EcoCore_CSU","TN","Shimadzu toc-L",,"combustion/chemoluminesence ASTM D8086-16",,0.100,"milligramsPerLiter",10.000,"+/- % of nominal value at full scale",,12.000,"+/- % of nominal value at full scale","EcoCore, Colorado State University","2014-10-06","2016-06-15"
"9cca0ca3-6717-4f02-864f-6e17800bc585","EcoCore_CSU","TN","Shimadzu toc-L",,"combustion/chemoluminesence ASTM D8086-16",,0.035,"milligramsPerLiter",0.097,"Standard deviation of nominal value",,0.222,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-05-28","2021-04-15"
"412fd282-1c17-444e-99f2-10c124de3917","EcoCore_CSU","NH4 - N","OI Analytical 3700 Automated Chemistry Analyzer",,"Salicylate/nitroferricyanide (DIN 38406)",,0.004,"milligramsPerLiter",0.078,"Standard deviation of nominal value",,0.382,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-07-03","2020-02-05"
"7cd0fff7-45e0-4493-a436-dc05e4afa8f9","EcoCore_CSU","UV Absorbance (254 nm)","Tecan Infinite M200",,"Absorbance",,0.000,"absorbance units",,"% of 1/1000 OD",,1.000,"% of 1/1000 OD","EcoCore, Colorado State University","2014-10-06","2022-05-10"
"20ac2a06-cee8-42f2-a6b1-6ce3aaa06074","EcoCore_CSU","NO2 - N","OI Analytical 3700 Automated Chemistry Analyzer",,"Sulfanilamide (EPA 353.2)",,0.000,"milligramsPerLiter",0.066,"Standard deviation of nominal value",,0.197,"95% CI of combined uncertainty","EcoCore, Colorado State University","2019-07-03","2020-02-05"
